"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Lymph",168280,14.3,9.5,21.3,136135,14.7,9.5,22.6,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Urinary",166640,24.2,17.4,33.2,133840,25.1,17.9,35.0,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Urinary",168280,7.2,4.0,12.9,136135,7.6,4.1,14.2,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Kidney",166640,20.7,14.6,29.1,133840,19.7,13.5,28.6,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Kidney",168280,8.9,5.3,14.8,136135,9.5,5.5,16.4,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Thyroid",166640,"","","",133840,"","","","","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Thyroid",168280,19.3,12.9,28.1,136135,18.7,11.6,29.0,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Liver",166640,18.2,12.8,25.6,133840,15.6,10.5,23.3,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Liver",168280,"","","",136135,"","","","","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Pancreas",166640,14.2,9.2,21.3,133840,15.5,10.1,23.6,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
